"max","min","distance","leg.number","lat","lon","type","size","weather","occo","number"
15,10,12.5,1,28.4865167,128.9643233,"W","S","BC",2,1
5,0,2.5,1,28.4843517,128.9624,"UO","SS","BC",2,1
30,25,27.5,1,28.4179417,128.9036933,"UO","SS","BC",3,1
25,20,22.5,2,28.3638167,128.8539583,"UO","SS","BC",3,1
20,15,17.5,2,28.3625367,128.8527583,"UO","S","BC",3,1
15,10,12.5,2,28.3373,128.8292267,"UO","SS","BC",3,1
20,15,17.5,2,28.3328783,128.825045,"PC","S","BC",3,1
50,45,47.5,2,28.3259717,128.8185433,"EPS","SS","BC",3,1
50,45,47.5,2,28.31909,128.8125283,"UO","SS","BC",3,1
10,5,7.5,2,28.31236,128.8070917,"EPS","SS","BC",3,1
20,15,17.5,2,28.3113183,128.806185,"UO","SS","BC",3,1
20,15,17.5,2,28.3101517,128.8051733,"PBA","SS","BC",3,1
10,5,7.5,2,28.308725,128.80401,"EPS","SS","BC",3,2
25,20,22.5,2,28.3080683,128.803465,"EPS","SS","BC",3,1
15,10,12.5,2,28.3047767,128.8007717,"W","SS","BC",3,1
10,5,7.5,2,28.3033683,128.79959,"FP","SS","BC",3,1
10,5,7.5,2,28.2999033,128.796715,"FP","SS","BC",3,1
10,5,7.5,2,28.2988833,128.7959033,"FP","SS","BC",3,1
20,15,17.5,2,28.2975083,128.7948033,"FP","SS","BC",3,1
30,25,27.5,2,28.296725,128.7941383,"EPS","SS","BC",3,1
10,5,7.5,2,28.2946033,128.7923483,"PC","S","BC",3,1
10,5,7.5,2,28.2905517,128.7889283,"EPS","SS","BC",3,1
40,35,37.5,2,28.2892367,128.787805,"PBO","S","BC",3,1
40,35,37.5,2,28.2881683,128.7868883,"PC","S","BC",3,1
30,25,27.5,2,28.2709117,128.772225,"EPS","SS","BC",3,1
10,5,7.5,2,28.2427617,128.7479383,"PBA","SS","BC",3,1
100,75,87.5,2,28.23615,128.7422383,"EPS","SS","BC",3,1
30,25,27.5,2,28.23501,128.741235,"EPS","SS","BC",3,1
25,20,22.5,2,28.231035,128.7378933,"FP","SS","BC",3,1
15,10,12.5,2,28.2159167,128.725,"FGF","S","BC",3,1
75,50,62.5,3,27.72083333,128.280615,"FGO","L","BC",3,1
35,30,32.5,4,27.59387667,128.1606267,"PC","SS","BC",3,1
20,15,17.5,4,27.58424333,128.150575,"NO","SS","BC",3,1
30,25,27.5,5,27.41085833,127.98332,"SW","SS","BC",3,1
45,40,42.5,6,24.90988,127.4399383,"EPS","SS","BC",3,1
100,75,87.5,6,24.90671833,127.4405583,"DW","SS","BC",3,1
35,30,32.5,6,24.90496667,127.4409433,"PC","SS","BC",3,1
20,15,17.5,6,24.89658333,127.442725,"PC","SS","BC",3,1
15,10,12.5,6,24.89258,127.4435767,"SW","SS","BC",3,1
150,100,125,6,24.86646333,127.4485917,"PBO","S","BC",3,1
100,75,87.5,6,24.86445167,127.4489367,"EPS","SS","BC",3,1
Inf,Inf,200,6,24.84859167,127.4514183,"EPS","S","BC",3,1
10,5,7.5,6,24.83986333,127.4528633,"PC","SS","BC",3,1
10,5,7.5,6,24.838745,127.45295,"EPS","SS","BC",3,1
Inf,Inf,200,6,24.81445667,127.4567917,"PC","M","BC",3,1
75,50,62.5,6,24.80127,127.4587833,"PBO","S","BC",3,1
15,10,12.5,6,24.77911,127.4627817,"PC","SS","BC",3,1
30,25,27.5,7,24.768745,127.4647733,"EPS","SS","BC",3,1
10,5,7.5,7,24.763945,127.46566,"SW","SS","BC",3,1
75,50,62.5,7,24.74717833,127.4689383,"EPS","SS","BC",3,1
75,50,62.5,7,24.74424667,127.4694967,"SW","SS","BC",3,1
10,5,7.5,7,24.74009333,127.4702633,"W","L","BC",3,1
15,10,12.5,7,24.73810833,127.470605,"SW","S","BC",3,1
75,50,62.5,7,24.73401833,127.4714417,"EPS","SS","BC",3,1
25,20,22.5,7,24.73288,127.4716367,"PBO","S","BC",3,1
15,10,12.5,7,24.73088,127.47204,"EPS","SS","BC",3,1
40,35,37.5,7,24.72464667,127.473095,"EPS","SS","BC",3,1
15,10,12.5,7,24.71607833,127.4747183,"FGF","SS","BC",3,1
15,10,12.5,7,24.713595,127.4752283,"SW",NA,"BC",3,1
20,15,17.5,7,24.70821833,127.4761967,"PC","SS","BC",3,10
20,15,17.5,7,24.70719167,127.47636,"SW","SS","BC",3,2
20,15,17.5,7,24.70611167,127.476575,"SW","SS","BC",3,1
25,20,22.5,7,24.705245,127.4767967,"SW","SS","BC",3,1
10,5,7.5,7,24.704595,127.4768917,"SW","SS","BC",3,1
10,5,7.5,7,24.69830167,127.4779583,"SW",NA,"BC",3,1
10,5,7.5,7,24.69788167,127.47805,"PC",NA,"BC",3,1
35,30,32.5,7,24.69751,127.4781767,"SW","SS","BC",3,1
10,5,7.5,7,24.69665833,127.478345,"PC","SS","BC",3,1
25,20,22.5,7,24.69426333,127.4786883,"SW","SS","BC",3,1
25,20,22.5,7,24.69307667,127.478955,"DW","S","BC",3,1
20,15,17.5,7,24.686765,127.4800583,"SW","SS","BC",3,1
35,30,32.5,7,24.683825,127.48059,"PC","SS","BC",3,1
35,30,32.5,7,24.68302667,127.4808417,"PC","SS","BC",3,1
20,15,17.5,7,24.681525,127.4810767,"SW","SS","BC",3,1
10,5,7.5,7,24.68085667,127.481175,"SW","SS","BC",3,1
10,5,7.5,7,24.67521167,127.4822133,"SW","SS","BC",3,1
25,20,22.5,7,24.671785,127.4828183,"SW","SS","BC",3,2
10,5,7.5,7,24.66336667,127.48427,"SW","SS","BC",3,2
20,15,17.5,7,24.65900833,127.484945,"SW","SS","BC",3,1
150,100,125,7,24.64894167,127.4866667,"EPS","S","BC",3,1
