"max","min","distance","leg.number","lat","lon","type","size","weather","occo","number"
15,10,12.5,1,35.69363,141.6719633,"PC","SS","C",1,1
5,0,2.5,1,35.69481667,141.6733883,"PBA","S","C",1,1
40,35,37.5,1,35.69715833,141.6763017,"EPS","S","C",1,1
10,5,7.5,1,35.69968,141.679395,"PBO","SS","C",1,1
10,5,7.5,1,35.70175667,141.6819333,"UO","SS","C",1,1
75,50,62.5,1,35.70493167,141.6857983,"EPS","S","C",1,1
45,40,42.5,1,35.70713333,141.6884833,"UO","SS","C",1,1
50,45,47.5,1,35.71074667,141.6928983,"EPS","S","C",1,1
5,0,2.5,1,35.71431667,141.6971867,"PC","S","C",1,1
75,50,62.5,1,35.71859833,141.7024733,"PBO","S","C",1,1
100,75,87.5,1,35.72155,141.70607,"PBO","S","C",1,1
35,30,32.5,1,35.725765,141.71118,"UO","S","C",1,1
10,5,7.5,1,35.72682167,141.7124683,"SW","SS","C",1,1
10,5,7.5,1,35.72741833,141.7132017,"PBO","S","C",1,1
25,20,22.5,1,35.72857,141.714575,"UO","S","C",1,1
30,25,27.5,1,35.732035,141.7187633,"UO","S","C",1,1
20,15,17.5,1,35.73703,141.7244883,"EPS","SS","C",1,1
75,50,62.5,1,35.73822167,141.7258583,"EPS","M","C",1,1
40,35,37.5,1,35.73928833,141.72705,"EPS","S","C",1,1
20,15,17.5,1,35.74044167,141.7283767,"EPS","SS","C",1,1
40,35,37.5,1,35.74123667,141.7292617,"PBO","S","C",1,1
150,100,125,1,35.74599,141.734775,"EPS","M","C",1,1
75,50,62.5,1,35.74905667,141.738245,"UO","S","C",1,1
100,75,87.5,1,35.75006,141.73936,"EPS","S","C",1,1
25,20,22.5,1,35.753425,141.7432283,"PBO","SS","C",1,1
30,25,27.5,1,35.75499167,141.7451417,"PBO","S","C",1,1
15,10,12.5,1,35.75606,141.7464617,"EPS","SS","C",1,1
Inf,Inf,200,1,35.758995,141.7499333,"W","L","C",1,1
50,45,47.5,1,35.76054333,141.7518117,"EPS","S","C",1,1
75,50,62.5,1,35.76604333,141.758635,"PBO","S","C",1,1
10,5,7.5,1,35.76667833,141.759375,"PC","SS","C",1,1
