max,min,distance,leg.number,lat,lon,type,size,weather,occo,number
15,10,12.5,1,26.05741939,127.8272142,FP,SS,BC,2,1
10,5,7.5,1,26.059948,127.8489412,FP,SS,BC,2,1
15,10,12.5,1,26.07841879,127.9185917,EPS,SS,BC,2,2
10,5,7.5,1,26.07882127,127.9194859,EPS,S,BC,2,1
20,15,17.5,1,26.08197457,127.9264799,EPS,SS,BC,2,1
10,5,7.5,1,26.08223155,127.9270816,EPS,SS,BC,2,1
10,5,7.5,1,26.088074,127.9404658,PBO,S,BC,2,1
15,10,12.5,1,26.09069204,127.9468317,PBO,S,BC,2,1
15,10,12.5,1,26.09368526,127.953887,EPS,SS,BC,2,1
15,10,12.5,1,26.0940408,127.9548629,EPS,SS,BC,2,1
10,5,7.5,1,26.09425046,127.9554241,PBO,S,BC,2,1
10,5,7.5,1,26.09497251,127.9571458,EPS,SS,BC,2,1
25,20,22.5,1,26.09523772,127.9576526,EPS,SS,BC,2,1
30,25,27.5,1,26.0969839,127.9612981,PBA,M,BC,2,1
15,10,12.5,1,26.09728332,127.9620051,FP,S,BC,2,1
10,5,7.5,1,26.09811334,127.9638962,FP,S,BC,2,1
35,30,32.5,1,26.09833299,127.964383,EPS,S,BC,2,1
15,10,12.5,1,26.09915619,127.9661367,UO,SS,BC,2,1
25,20,22.5,1,26.10240115,127.9727167,PC,SS,BC,2,1
15,10,12.5,2,26.12362067,128.0143587,EPS,S,BC,2,1
10,5,7.5,2,26.14976389,128.0701255,EPS,SS,BC,2,1
10,5,7.5,2,26.15221728,128.0757439,EPS,SS,BC,2,1
15,10,12.5,2,26.16361498,128.1004644,EPS,SS,BC,2,1
NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
10,5,7.5,4,27.37263664,130.7785638,EPS,SS,O,3,1
10,5,7.5,4,27.37579244,130.7870313,UO,M,O,3,1
10,5,7.5,4,27.40179228,130.8553935,FGF,S,R,3,1
150,100,125,4,27.4043279,130.8623711,FGF,S,O,3,1
10,5,7.5,5,27.46137203,131.0033079,UO,S,O,3,1
15,10,12.5,5,27.46594212,131.0123472,PC,SS,O,3,1
15,10,12.5,5,27.47333053,131.0273843,EPS,SS,O,3,1
15,10,12.5,5,27.4809094,131.0430988,EPS,SS,O,3,1
20,15,17.5,5,27.49039254,131.062403,UO,S,O,3,1
10,5,7.5,5,27.50559355,131.0951256,PC,S,R,3,1
10,5,7.5,5,27.51324834,131.1116167,SW,M,R,3,1
45,40,42.5,6,27.69061264,131.4845903,SW,M,O,3,1
25,20,22.5,6,27.69414159,131.4909424,PC,S,O,3,1
20,15,17.5,6,27.69765747,131.497236,G,SS,O,3,1
100,75,87.5,6,27.7007705,131.5028921,FGF,M,O,3,1
20,15,17.5,6,27.71282006,131.5247933,EPS,SS,O,3,1
15,10,12.5,6,27.71397412,131.5267848,SW,SS,O,3,1
45,40,42.5,6,27.71621257,131.5309566,UO,SS,O,3,1
20,15,17.5,6,27.72922949,131.5544198,EPS,SS,O,3,1
45,40,42.5,6,27.74013919,131.5741928,DW,M,O,3,1
35,30,32.5,6,27.74896091,131.590372,FGF,S,O,3,1
150,100,125,6,27.75341889,131.5987286,PC,S,O,3,1
20,15,17.5,6,27.75524362,131.6020525,EPS,SS,O,3,1
75,50,62.5,6,27.75558752,131.602666,SW,L,O,3,1
10,5,7.5,6,27.75723143,131.6055803,PC,SS,O,3,1
50,45,47.5,6,27.76224755,131.6147746,EPS,SS,O,3,1
20,15,17.5,6,27.76707511,131.623755,PC,SS,O,3,1
45,40,42.5,6,27.79354371,131.6727458,SW,S,O,3,1
15,10,12.5,6,27.7938994,131.6733839,UO,SS,O,3,1
25,20,22.5,7,27.81498603,131.71562,PC,SS,O,3,1
20,15,17.5,7,27.81941321,131.7248881,PC,S,O,3,1
25,20,22.5,7,27.81991563,131.7260241,EPS,SS,O,3,1
35,30,32.5,7,27.84192282,131.7736583,PC,SS,O,3,1
25,20,22.5,7,27.84486452,131.7798944,PC,S,O,3,1
25,20,22.5,7,27.84733924,131.7847882,EPS,SS,O,3,1
15,10,12.5,7,27.85000004,131.7903071,PC,SS,O,3,1
35,30,32.5,7,27.85050663,131.7913018,EPS,SS,O,3,1
30,25,27.5,7,27.9074968,131.9013504,PC,SS,O,3,1
15,10,12.5,8,27.9386748,131.9757861,EPS,S,O,3,1
20,15,17.5,8,27.94126321,131.9813449,PC,S,O,3,1
20,15,17.5,8,27.94492573,131.9889453,PC,S,O,3,1
25,20,22.5,8,27.95137176,132.0018711,PC,S,O,3,1
15,10,12.5,8,27.95330208,132.0059276,NO,SS,O,3,1
15,10,12.5,8,27.95620787,132.0114536,PC,SS,O,3,1
25,20,22.5,8,27.96200196,132.0223661,PBO,S,O,3,1
15,10,12.5,8,27.98092976,132.057886,FGF,SS,O,3,1
50,45,47.5,8,27.9955613,132.0846055,DW,S,O,3,1
10,5,7.5,8,28.00569947,132.1041206,PC,SS,O,3,1
15,10,12.5,9,28.03224724,132.1557753,FP,SS,O,3,1
20,15,17.5,9,28.04185636,132.1747557,PBO,S,O,3,1
15,10,12.5,9,28.04191928,132.1749459,PC,SS,O,3,1
15,10,12.5,9,28.04391921,132.1788517,FP,SS,O,3,1
10,5,7.5,9,28.04552344,132.1818912,FP,SS,O,3,1
10,5,7.5,9,28.04831827,132.1871619,PC,SS,O,3,1
15,10,12.5,10,29.02267433,134.7859741,FP,S,O,4,1
25,20,22.5,10,29.02322267,134.7902726,EPS,S,O,4,1
20,15,17.5,10,29.02865845,134.8276386,FP,SS,O,4,1
15,10,12.5,10,29.02916966,134.8306413,W,SS,O,4,1
