leg.number,lat.start,lon.start,lat.end,lon.end,leg.length
1,26.05090968,127.7773609,26.11135,127.9905667,22.35731527
2,26.11135,127.9905667,26.21098333,128.2079667,24.37810601
3,26.21098333,128.2079667,26.26435,128.3153333,12.24906759
4,27.37041667,130.7711833,27.4525,130.9851667,23.03303711
5,27.4525,130.9851667,27.55673333,131.2045333,24.5605778
6,27.68467301,131.4739634,27.79468333,131.6749333,23.26485997
7,27.79468333,131.6749333,27.91374005,131.9132906,26.93003243
8,27.9308,131.9589833,28.00796667,132.10865,17.02860755
9,28.00796667,132.10865,28.08526667,132.2598,17.15320261
10,29.01976667,134.76755,29.03288333,134.85315,8.464439019
11,29.03288333,134.85315,29.05465554,134.9372043,8.534959281
12,29.02741298,134.9686289,28.99891667,135.00415,4.685297454
13,28.99891667,135.00415,28.97024313,135.0403003,4.744604183
14,28.3642851,135.4322057,28.38266667,135.4199833,2.363317639
15,28.38266667,135.4199833,28.40671667,135.3932,3.7408172
16,28.40671667,135.3932,28.44076667,135.3433,6.175912796
17,28.44076667,135.3433,28.48585,135.3177333,5.588761302
18,28.48585,135.3177333,28.50583333,135.3215667,2.24627885
19,28.50583333,135.3215667,28.50813333,135.3283667,0.712837901
20,28.62453425,136.2524037,28.59243333,136.28265,4.626914889
21,28.59243333,136.28265,28.52618333,136.2229667,9.38168344
22,28.52618333,136.2229667,28.5019,136.1657667,6.212560786
23,28.5019,136.1657667,28.46465458,136.1190899,6.158641762
24,28.20418333,137.1157167,28.24185,137.08275,5.281716239
25,28.24185,137.08275,28.29021667,137.0835667,5.360774487
26,28.29021667,137.0835667,28.33975,137.06495,5.785181353
27,28.33975,137.06495,28.38905,137.0940833,6.165073934
28,28.43882969,137.361193,28.47785,137.3401,4.792625575
29,28.47785,137.3401,28.53201667,137.34185,6.005608122
30,28.53201667,137.34185,28.59201667,137.3646167,7.012924337
31,28.59201667,137.3646167,28.65265,137.3897333,7.154772899
32,28.65265,137.3897333,28.66613333,137.40195,1.912947755
33,28.23512716,137.9848298,28.1899,137.963,5.451109071
34,28.1899,137.963,28.14263333,137.9294333,6.189202452
35,28.14263333,137.9294333,28.11695,137.8890833,4.880123608
36,28.11695,137.8890833,28.0871,137.84935,5.117470036
37,28.0871,137.84935,28.0802,137.8368,1.451275356
38,27.28974442,139.8657075,27.28178333,140.0059167,13.90909764
39,27.28178333,140.0059167,27.2724,140.1543333,14.73153999
40,27.25621667,140.7446667,27.2478,140.8974667,15.16090583
41,27.2478,140.8974667,27.22973333,140.9479833,5.389027597
42,27.16098506,141.492932,27.16143906,141.628025,13.38956719
43,27.14696891,141.7228062,27.10596133,141.8535218,13.73311811
44,27.13435,142.12865,27.2361099,142.0670099,12.82373962
45,27.32195,142.0049167,27.41118333,141.9386333,11.86468638
46,27.41118333,141.9386333,27.50305,141.8722833,12.10972712
47,27.61545285,141.8017709,27.7148,141.7412333,12.52497148
48,27.7148,141.7412333,27.82173836,141.676929,13.43915031
49,29.32601857,140.6852686,29.44476667,140.5872833,16.23955615
50,29.44476667,140.5872833,29.58922583,140.4746324,19.38244548
51,29.80165894,140.341298,29.9191,140.31735,13.22238865
52,29.9191,140.31735,30.09829868,140.2880731,20.06444781
53,30.16284225,140.2802466,30.3384,140.2560333,19.6007707
54,30.3384,140.2560333,30.5274,140.23455,21.05389148
55,32.91295591,139.9071994,33.03268333,139.9174167,13.31255526
56,33.03268333,139.9174167,33.18396091,139.8773159,17.19009173
57,33.72847538,139.7323538,33.8761,139.6831,16.99765612
58,33.8761,139.6831,34.0289,139.62935,17.66203797
59,34.0289,139.62935,34.21285081,139.5913922,20.70296097
